Statistic,ipv4_prefix_count,ipv6_prefix_count,ipv4_neighbor_count,ipv6_neighbor_count,Total_Changes
139418,3.0,,,,3.0
139822,1.0,,,,1.0
141185,2.0,,,,2.0
132926,3.0,,,,3.0
135384,5.0,,,,5.0
141937,2.0,,,,2.0
142153,2.0,,,,2.0
133419,1.0,,,,1.0
265896,3.0,,,,3.0
270930,2.0,2.0,2.0,,6.0
272158,1.0,1.0,,,2.0
264234,1.0,,,,1.0
263869,4.0,2.0,2.0,2.0,10.0
272694,3.0,,5.0,,8.0
149290,1.0,,,,1.0
19512,2.0,,4.0,,6.0
27353,2.0,,,,2.0
265415,4.0,,,,4.0
262880,2.0,2.0,,,4.0
52898,1.0,,3.0,,4.0
264917,1.0,,,,1.0
396275,1.0,,,,1.0
266270,2.0,,,,2.0
265490,1.0,,,,1.0
266021,2.0,,,,2.0
52548,1.0,,,,1.0
263556,2.0,,,,2.0
262545,1.0,,,,1.0
263520,3.0,2.0,,,5.0
271644,2.0,,,,2.0
271192,2.0,1.0,,,3.0
270081,1.0,1.0,1.0,,3.0
271516,2.0,3.0,,,5.0
62224,1.0,,,,1.0
199757,3.0,,,,3.0
52059,2.0,,,,2.0
199906,2.0,,,,2.0
30767,2.0,,,,2.0
213075,3.0,,,,3.0
262996,2.0,,,,2.0
28121,1.0,,,,1.0
204357,4.0,,,,4.0
28328,4.0,,5.0,,9.0
35783,1.0,,,,1.0
35640,2.0,,,,2.0
6968,2.0,2.0,,,4.0
33788,2.0,,,,2.0
270012,2.0,,,,2.0
45494,1.0,,,,1.0
17452,2.0,,,,2.0
397002,1.0,,,,1.0
199512,3.0,,,,3.0
26851,2.0,,,,2.0
201370,1.0,,1.0,,2.0
134712,1.0,2.0,1.0,1.0,5.0
47597,1.0,1.0,1.0,,3.0
23367,4.0,2.0,,,6.0
2914,5.0,5.0,1.0,,11.0
21859,2.0,,6.0,,8.0
23473,6.0,,2.0,,8.0
4788,1.0,2.0,,,3.0
20562,4.0,,,,4.0
3223,4.0,,1.0,,5.0
4775,2.0,,1.0,,3.0
4826,1.0,1.0,,,2.0
6663,2.0,,,,2.0
45769,1.0,,1.0,,2.0
8966,2.0,3.0,,,5.0
8708,2.0,2.0,,,4.0
719,1.0,1.0,,,2.0
262589,4.0,6.0,4.0,1.0,15.0
5580,1.0,,,,1.0
31027,1.0,2.0,,,3.0
11404,5.0,4.0,,,9.0
42831,2.0,1.0,,,3.0
6774,2.0,2.0,,,4.0
61317,2.0,,6.0,1.0,9.0
60299,2.0,,,,2.0
201053,5.0,,,,5.0
50607,5.0,,,,5.0
8551,3.0,,4.0,,7.0
12578,3.0,,,,3.0
9049,1.0,1.0,,,2.0
12189,1.0,,,1.0,2.0
50810,2.0,,,,2.0
24940,1.0,1.0,,,2.0
31200,2.0,,,,2.0
58002,1.0,,,,1.0
48642,1.0,,,,1.0
12360,1.0,,,,1.0
7393,2.0,,7.0,,9.0
2603,1.0,3.0,,,4.0
43561,2.0,,,,2.0
11426,1.0,,1.0,1.0,3.0
39074,2.0,,,,2.0
20559,1.0,,,,1.0
19151,1.0,,,,1.0
211619,2.0,,,,2.0
20001,2.0,,,1.0,3.0
27552,1.0,,,,1.0
60503,1.0,,,,1.0
